ticker,time,sector,open,high,low,close,volume,MA20,MA50,RSI,Vol20,Vol60,return_30,BVPS (VND),Debt/Equity,EPS (VND),Financial Leverage,Fixed Asset-To-Equity,Market Capital (Bn VND),Net Profit Margin (%),Outstanding Share (Mil Shares),Owners' Equity/Charter Capital,P/B,P/Cash Flow,P/E,P/S,ROA (%),ROE (%)
HPG,2022-01-06,Material,26.66,26.77,26.43,26.43,17172700,26.6075,28.4764,38.76404494382021,16883240.0,23979175.0,-0.0537684730231998,18810.1512526528,1.0710567152,2314.312086240419,2.0710567151995,0.8082597929804796,196808599064000.0,0.2676678112764233,4472922706.0,1.0986392956795843,2.3391624772,14.7464044353,6.2107155712,1.5052613368,0.2095297605,0.4467085831
LPB,2022-01-06,Banking,10.74,10.74,10.52,10.57,11432400,10.6205,10.8418,44.54545454545454,6615400.0,9549175.0,-0.1210364362276784,13424.1399786951,14.7591105545,508.2634111974536,15.759110554467872,0.0997560401523361,25455938525100.0,0.3012736663980978,1203590474.0,0.5408651228486255,1.5755199241,2.9443061581,9.4432484183,2.6551653579,0.0108078764,0.1766391281
MBB,2022-01-06,Banking,12.86,12.91,12.71,12.8,10895000,12.7675,12.919,51.51515151515154,7544565.0,10946623.333333334,-0.086034337341803,14851.1729047475,8.4412795483,799.8725832185785,9.441279548271575,0.073946912142735,112971821132300.0,0.4638658495817622,3778321777.0,0.7305697537531779,2.0133089953,4.086990251,10.1580540843,3.271515453,0.0212995961,0.203137064
MSN,2022-01-06,Food & Beverage,133.18,133.18,127.23,127.23,1650400,135.606,128.8656,42.09876543209877,4237680.0,2215956.6666666665,-0.0189962894061837,18226.1598458811,2.8124490545,971.9799068810424,3.812449054530248,1.4511042285261262,167753979733200.0,0.0486111114053072,1180534692.0,2.128700220320209,7.796485996,41.5326174078,69.9152959937,1.941585864,0.0200908452,0.0837296916
MWG,2022-01-06,Retail,65.97,66.79,65.69,66.17,771100,64.94250000000001,65.11880000000001,64.24242424242422,813050.0,1187086.6666666667,-0.0460734076153218,26368.3691546762,1.6653151148,1101.7795976408208,2.665315114809318,0.4588917415929388,92739637699500.0,0.0322762712979412,712833495.0,1.2796730311033484,4.9339418466,35.5897237958,21.4292644759,0.8134094864,0.0855260386,0.2462212826
PLX,2022-01-06,Oil & Gas,48.9,49.77,48.46,48.72,1242900,47.4435,48.4952,54.74060822898033,1194140.0,1949941.6666666667,-0.0267330621970688,19310.3497795239,1.2316301195,59.954016826649344,2.2316301194595094,0.5336850979076032,68611980690000.0,0.0022000421001684,1270592235.0,2.132658834225046,2.7964278543,-17.9520475239,21.1321973861,0.4543296977,0.0497088883,0.1200039597
SAB,2022-01-06,Food & Beverage,62.14,62.21,60.96,61.2,75300,59.012,62.293800000000005,64.61949265687586,152470.0,140375.0,-0.0701904112305248,33100.9388427856,0.2596980158,692.309631951373,1.2596980158055584,0.2001696200488901,96833459086000.0,0.1036735725825572,641281186.0,1.759541854146178,4.5618041445,34.7859238982,25.2874102477,3.8372283115,0.1375563112,0.1758087958
SHB,2022-01-06,Banking,11.93,12.2,11.76,12.2,17611400,11.883,12.4406,53.03514376996805,10410380.0,15141135.0,-0.1034734904434857,13281.2466636378,15.1992933954,560.4510062697149,16.19929339540499,0.1702536180997666,54937596427800.0,0.376904947909443,2666873613.0,0.6242647653601597,1.5510592132,2.4639851666,9.8259291035,3.2638242089,0.0106800896,0.178072176
SSB,2022-01-06,Banking,25.13,25.21,24.3,25.07,2666600,23.758000000000003,22.524,71.91413237924863,2375300.0,2172151.6666666665,0.1068241577260488,12528.1470448247,11.3252164826,467.92324376430895,12.325216482614035,0.0534818451962213,63487350000000.0,0.5475819318740248,1659800000.0,0.5636043585237258,3.0531250841,-266.8282733156,20.8358933641,9.6954162239,0.0132861623,0.1692336876
SSI,2022-01-06,Securities,31.58,31.95,31.28,31.28,13248000,31.130000000000003,29.7754,53.41685649202734,14969235.0,18579851.666666668,-0.0249420980279532,13342.8871144502,2.9413685908,695.3518793217452,3.94136859083843,0.0141253004739153,41553128907900.0,0.3907552671765347,982343473.0,0.5812551223357832,3.1702284249,-2.0241780459,17.822371356,6.7079750228,0.051052656,0.1856519358
STB,2022-01-06,Banking,32.5,33.9,32.4,32.7,38537500,29.3275,28.695,74.11764705882354,18865730.0,19188553.33333333,0.0712890837473017,17707.8647905776,13.8067230334,339.3394159461802,14.806723033434986,0.2454485339832421,63908812772400.0,0.193094655402852,1885215716.0,1.7707864790577632,1.9144035942,-5.6756331358,18.1825174761,3.529633387,0.0068183436,0.1107405104
TCB,2022-01-06,Banking,23.71,23.81,23.43,23.57,10716700,23.4355,24.1576,50.29239766081872,8019105.0,15093231.666666666,-0.1065477613875139,24959.6489923137,5.1281746976,1235.4614821387645,6.128174697625796,0.0803988226841871,171157096402500.0,0.6433232594076164,3510914798.0,1.2472684503532003,1.9531524668,7.8556897456,9.8186642285,4.9354390142,0.0357192966,0.2134837729
TPB,2022-01-06,Banking,19.25,20.04,19.25,19.57,5190400,18.429,16.8012,64.13690476190473,5549395.0,4526845.0,0.1437299475815257,15652.9438830873,9.5144066451,701.6754507939927,10.51440664514464,0.0314350706183941,61530288755500.0,0.4731680219505685,1581755495.0,0.8925274565827425,2.4851555267,6.7074703125,12.3724572142,4.6680633178,0.0199149294,0.2310486605
VCB,2022-01-06,Banking,44.2,44.93,43.8,44.48,1215600,43.7195,43.30259999999999,58.93333333333328,1172220.0,1062926.6666666667,-0.025306566913915,23122.5947882687,11.6474501796,970.7583546884954,12.647450179614404,0.07466118902057,414568451619600.0,0.4405636600310361,4732516571.0,1.310807933145324,3.788502147,6.3786258507,19.6251624626,7.3720657931,0.0159551824,0.2039355727
VHM,2022-01-06,Real Estate,81.61,83.56,81.61,82.88,10551700,80.74,80.49119999999999,58.93512851897184,7367265.0,7100635.0,0.019001789751027,26196.8185538685,0.8373312903,2564.5044959512616,1.8373312903181147,0.0496245407429748,335286296576000.0,0.5399951952263297,4354367488.0,2.91040355541601,2.9392882132,18.9668920822,8.5860704593,4.0302226473,0.1809159703,0.3827286684
VIB,2022-01-06,Banking,18.39,19.02,18.19,18.35,4190200,17.3945,16.3878,60.39215686274513,2648175.0,2372990.0,0.0417306724564732,14266.9213973655,11.8634324265,713.4262620981995,12.863432426525376,0.022633004865973,67406405896200.0,0.4136951175483838,1553142993.0,0.6509556941959419,3.04200176,11.3003187792,11.8410566023,4.8993202437,0.0213846275,0.2828457128
VIC,2022-01-06,Real Estate,50.5,53.2,50.25,52.25,5061400,49.8875,49.36,57.62711864406779,2771960.0,2823915.0,0.1048290248135318,26130.4687018389,1.6391378045,-92.3301362201606,2.639137804518498,0.751022647511447,364920098456900.0,-0.0116678039368177,3805214791.0,2.12448764684139,3.6700451528,-54.6036918333,86.3491920799,2.8808761314,0.0101266096,0.0294091937
VJC,2022-01-06,Transportation,123.0,124.4,122.7,123.8,627100,124.23999999999998,126.308,53.84615384615383,754260.0,832130.0,-0.0656485671670901,31233.1839389277,2.009619255,134.60124091310098,3.0096192549912653,0.047339195404125,67430611083000.0,0.0274702636683648,541611334.0,2.86144158834337,3.9861450002,-10.0831607069,55.5340608704,4.6059785149,0.0244064061,0.0750829819
VNM,2022-01-06,Food & Beverage,67.46,67.46,66.83,66.91,2848200,67.326,68.381,41.45454545454548,1721580.0,2708598.333333333,-0.0242149732135977,14878.9730557395,0.5370593551,1399.9183595117263,1.5370593550728306,0.3854826889185954,174302284113000.0,0.18066923567826,2089955445.0,1.6208440144937637,5.6052255547,17.8827283813,16.5620465703,2.928223606,0.2057036036,0.3097758808
VPB,2022-01-06,Banking,20.74,20.85,20.5,20.65,14344800,20.384500000000003,21.215,60.70528967254406,16000120.0,14346150.0,-0.0592278342003334,14019.3157341243,6.6927588666,486.07196846998016,7.692758866601858,0.0276508666734218,147811990117750.0,0.2891026128169423,4445473387.0,0.7855192226976424,2.3717277384,7.5540707495,11.9959643211,3.3640627781,0.0274871559,0.2124621582
